bID,name,address,cord,numOfReview,rating,zipcode,cuisine
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,"40 W 56th St, New York, NY 10019","40.76292, -73.976546",626,4.5,10019,chinese
EmJ7rfmv2y6lQZxgA8U__g,Red Peony Chinese Cuisine,"24 W 56th St, New York, NY 10019","40.76278, -73.97589",516,4.5,10019,chinese
83zDAk03lFXkgImgkLhT9w,Chi Restaurant & Bar,"492 9th Ave, New York, NY 10018","40.75547, -73.99439",8,4.0,10018,chinese
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,"334 W 46th St, New York, NY 10036","40.76015, -73.9893699",1566,4.0,10036,chinese
BNaveJmi-OUGKG9sRfrIhA,Mr. Sun,"48 W 48th St, New York, NY 10036","40.75809, -73.98026",155,4.5,10036,chinese
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,"215 W 85th St, New York, NY 10024","40.78752, -73.97647",672,4.0,10024,chinese
h0pRCiJDrCN7tm3VX5tILQ,CHILI,"13 E 37th St, New York, NY 10016","40.75002, -73.98215",499,4.5,10016,chinese
l1nX-f46dmOEmYPoiuLSaw,Peking Duck House,"236 E 53rd St, New York, NY 10022","40.756912, -73.968109",499,3.5,10022,chinese
qrncvjkiKN5Z-JC06ygy6A,Hutong,"731 Lexington Ave, New York, NY 10022","40.761551, -73.967443",439,3.5,10022,chinese
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,"90 3rd Ave, New York, NY 10003","40.732072, -73.988074",1327,4.0,10003,chinese
4FD0TAxe70nb3ngk3sXF9Q,Uluh,"152 2nd Ave, Ste A, New York, NY 10003","40.7293403, -73.9866071",734,4.5,10003,chinese
FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,"360 W 42nd Street, New York, NY 10036","40.7582902125633, -73.9925113993899",533,4.0,10036,chinese
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,"46 Bowery St, New York, NY 10013","40.7156608, -73.9967012",6905,4.0,10013,chinese
sBCJYLPNJuagg-aJ3Y_ozQ,Cheli,"19 St Marks Pl, Ste 23, New York, NY 10003","40.72925, -73.9886",221,4.0,10003,chinese
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,"23 St Marks Pl, New York, NY 10003","40.72911, -73.98858",540,4.5,10003,chinese
1dFOF1HPaThSCsdiqR7DrA,Land of Plenty,"204E 58th St, New York, NY 10022","40.76063, -73.96664",353,3.5,10022,chinese
xq0cX_DgxiJMXwhmEl9kUA,Café China,"59 W 37th St, New York, NY 10018","40.75157, -73.98584",1814,4.0,10018,chinese
R3UNnA8EbjhNWBHS0wJ0VA,Grand Sichuan Eastern,"1049 2nd Ave, New York, NY 10022","40.75831, -73.96636",271,3.5,10022,chinese
0dDCDQz7DrKkSvu9h2hcQw,Chow House,"181 Bleecker St, New York, NY 10012","40.72915, -74.00072",549,4.5,10012,chinese
oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,"1378 3rd Ave, New York, NY 10075","40.773951, -73.957927",485,4.0,10075,chinese
E_Rxnmim6J2ECFtU0QGlsQ,Uncle Lou,"73 Mulberry St, New York, NY 10013","40.71623, -73.99925",225,4.0,10013,chinese
LT0yyLNM84EiJj9DL0rfHA,Hui Restaurant & Bar,"314 E 70th St, New York, NY 10021","40.76701, -73.95846",237,4.5,10021,chinese
nI1UYDCYUTt23TpGxqnLKg,Buddakan,"75 9th Ave, New York, NY 10011","40.7422762672197, -74.0048000961542",4391,4.0,10011,chinese
GuzlMBKNoClNx5I1-x-DDg,53 NYC,"53 W 53rd St, New York, NY 10019","40.76179318437133, -73.9780863",29,4.5,10019,chinese
croh2zWlbPyCQTNS11klcg,China River 川聚院,"258 W 44th St, New York, NY 10036","40.75821, -73.98833",248,4.0,10036,chinese
B3_K2kUVbYOU0VaLcj_LTw,Thai Villa,"5 E 19th St, G Floor, New York, NY 10003","40.73902, -73.99065",4334,4.5,10003,chinese
UK1oGbr8GU2rufpnJR4-HQ,Joe's Home of Soup Dumplings,"7 E 48th St, between Fifth and Madison avenues, New York, NY 10017","40.75723, -73.97702",310,4.5,10017,chinese
NN3mOWF5e_pnR1ArqM2bHQ,OBAO,"647 9th Ave, New York, NY 10036","40.7606544, -73.991332",3593,4.0,10036,chinese
83BXSwE0166sObnXLUE4bQ,Land,"450 Amsterdam Ave, New York, NY 10024","40.78497, -73.9772182",1108,4.0,10024,chinese
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,"150 E 50th St, New York, NY 10022","40.7558937072754, -73.9715347290039",605,4.5,10022,chinese
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,"320 Lexington Ave, New York, NY 10016","40.74922, -73.97785",278,4.5,10016,chinese
uiQ6p_3biJD5S4PrF58t_g,Szechuan Gourmet,"21 W 39th St, New York, NY 10018","40.75226727202543, -73.9836107151638",851,3.5,10018,chinese
wDuf4Qz9qsC62amLZgWNJQ,Little Alley,"550 3rd Ave, New York, NY 10016","40.74744, -73.97728",460,4.0,10016,chinese
Qwd4Tv-CqgO2Yl9zZgkKOQ,Shun Lee Palace,"155 E 55th St, New York, NY 10022","40.75945, -73.96907",321,3.0,10022,chinese
i7cKPMXreR4XfTjdpqZ_5A,Emperor Dumpling,"818 6th Ave, New York, NY 10001","40.74613, -73.99015",21,5.0,10001,chinese
gvOe1TLb8hZgx0naC9LYpw,Sei Less,"156 W 38th St, New York, NY 10018","40.75314, -73.98814",146,4.0,10018,chinese
qGgQMVExGERqGhZNDM2ROg,Wu Liang Ye,"36 W 48th St, New York, NY 10036","40.75781, -73.97994",548,3.5,10036,chinese
ZWP7yq9C2bhCcLkMR9BmVw,Mala Project,"245 East 53rd St, New York, NY 10022","40.75712551924447, -73.96767713374987",39,4.5,10022,chinese
6dVXDdgzDEVt4DvHzpWo9w,Tang Pavilion,"65 W 55th St, New York, NY 10019","40.762849, -73.977189",336,3.5,10019,chinese
xCHApgtkLpEyh0lz-uhZvg,Szechuan Garden,"239 W 105th St, New York, NY 10025","40.80053, -73.967586",358,4.0,10025,chinese
sfsjk1h50ooC2ioY7m48gw,Pig Heaven,"1420 3rd Ave, New York, NY 10028","40.77544, -73.95686",468,4.0,10028,chinese
gJXNSJ9VXTuCFmp_Kl9TVQ,Shanghai,"1388 2nd Ave, New York, NY 10021","40.768291, -73.958381",123,4.0,10021,chinese
TU_BU9HLflYI2xlyqVQdRA,TAO Uptown,"42 E 58th St, New York, NY 10022","40.762659285620664, -73.97144107883544",2805,3.5,10022,chinese
1jAB_uaI8-P_wSqOo2S3KQ,Mazu Szechuan,"495 3rd Ave, New York, NY 10016","40.745234, -73.97812",103,4.5,10016,chinese
lQ8Fzgji9qmgRXkFcvAsVQ,Chong Qing Xiao Mian,"796 9th Ave, New York, NY 10019","40.76513, -73.98753",335,4.0,10019,chinese
HR_a2QSA_KJZIakufAJUmg,Szechuan Gourmet,"21 W 39th St, New York, NY 10018","40.75226532620614, -73.98361050137848",39,4.5,10018,chinese
rGUv1nNmsvy2jOlZtbaOpw,Dimsum Garden,"338 Lexington Ave, New York, NY 10016","40.74979, -73.97743",46,4.5,10016,chinese
BbODF2tZuw4xW_RFwMzwRg,Jiangnan Chinese Cuisine,"103 Washington St, Fl 2, New York, NY 10006","40.7084231394503, -74.0140241895666",62,3.5,10006,chinese
